,name,year,rating,metascore,runtime,content
1,The Adam Project,2022,6.8,55,106,PG-13
2,Turning Red,2022,7.1,83,100,PG
3,Spider-Man: No Way Home,2021,8.6,71,148,PG-13
4,The King's Man,2021,6.3,44,131,R
5,Uncharted,2022,6.7,45,116,PG-13
6,Free Guy,2021,7.2,62,115,PG-13
7,Dune,2021,8.1,74,155,PG-13
8,Sing 2,2021,7.5,49,110,PG
9,Eternals,2021,6.4,52,156,PG-13
10,Ghostbusters: Afterlife,2021,7.2,45,124,PG-13
11,Batman,1989,7.5,69,126,PG-13
12,No Time to Die,2021,7.3,68,163,PG-13
13,The Suicide Squad,2021,7.2,72,132,R
14,Batman Forever,1995,5.4,51,121,PG-13
15,Avengers: Endgame,2019,8.4,78,181,PG-13
16,Kingsman: The Secret Service,2014,7.7,60,129,R
17,Zack Snyder's Justice League,2021,8.1,54,242,R
18,Interstellar,2014,8.7,74,169,PG-13
19,The Green Knight,2021,6.6,85,130,R
20,Shang-Chi and the Legend of the Ten Rings,2021,7.5,71,132,PG-13
21,Inception,2010,8.8,74,148,PG-13
22,Venom: Let There Be Carnage,2021,6,49,97,PG-13
23,Harry Potter and the Sorcerer's Stone,2001,7.6,65,152,PG
24,Batman v Superman: Dawn of Justice,2016,6.5,44,152,PG-13
25,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,92,178,PG-13
26,Mad Max: Fury Road,2015,8.1,90,120,R
27,Spider-Man: Homecoming,2017,7.4,73,133,PG-13
28,Inglourious Basterds,2009,8.3,69,153,R
29,Spider-Man,2002,7.4,73,121,PG-13
30,Avengers: Infinity War,2018,8.5,68,149,PG-13
31,Kingsman: The Golden Circle,2017,6.7,44,141,R
32,Black Widow,2021,6.7,67,134,PG-13
33,Dune,1984,6.3,41,137,PG-13
34,Spider-Man: Into the Spider-Verse,2018,8.4,87,117,PG
35,Deadpool,2016,8,65,108,R
36,Starship Troopers,1997,7.3,51,129,R
37,The Hobbit: An Unexpected Journey,2012,7.8,58,169,PG-13
38,The Hunger Games,2012,7.2,68,142,PG-13
39,Jurassic Park,1993,8.2,68,127,PG-13
40,Battleship,2012,5.8,41,131,PG-13
41,Deadpool 2,2018,7.7,66,119,R
42,John Carter,2012,6.6,51,132,PG-13
43,Fantastic Beasts and Where to Find Them,2016,7.3,66,132,PG-13
44,Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,134,PG-13
45,Star Wars,1977,8.6,90,121,PG
46,Independence Day,1996,7,59,145,PG-13
47,Guardians of the Galaxy,2014,8.1,76,121,PG-13
48,Avatar,2009,7.9,83,162,PG-13
49,Shrek 2,2004,7.3,75,93,PG
50,Cruella,2021,7.4,59,134,PG-13
